Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total
a1e7769bcbc77cedbbf0487443c0ae04449815c6,14685d7c19b1bcf05466194de4a62ee39d4144f97867505373401607acec327e9b715f57d5ae38f00020eb0a6325c0923967d4cdfbefb2ed0930d80a9fcdae42,2022-01-01T14:00:00.000Z,2022-01-01T14:30:00.000Z,1020,4.7,59,62,23.0,0.0,0.0,0.0,23.0
d0f9ffed32f7008f851a10dcd1447e0d6a6083da,884655d853cbe41e1cdf747969f0dc5b55ed2d5f76c09ae207083297c948a813b2dd57912bfb4a6f4230556ab61363257e586827846cf2a89ff35c7c3b1c08e5,2022-01-01T09:15:00.000Z,2022-01-01T09:30:00.000Z,1040,11.16,59,56,29.25,0.0,0.0,0.0,29.25
820e7889bae1c08ecf7d421e88c0b17af984807e,ca2e49fc5f32316d5c59cabe4993d8f7b27ee126bc505836ae638a3a60ddf28a06fd497610cc6647831d8104f0574bcd8cea05fa5a8bd124061bfee79df6c1f2,2022-01-01T14:45:00.000Z,2022-01-01T15:00:00.000Z,780,10.1,59,44,26.0,0.0,0.0,0.0,26.0
aeccc73e7316807bf90b84001ab62036e379e864,14685d7c19b1bcf05466194de4a62ee39d4144f97867505373401607acec327e9b715f57d5ae38f00020eb0a6325c0923967d4cdfbefb2ed0930d80a9fcdae42,2022-01-01T17:30:00.000Z,2022-01-01T17:30:00.000Z,720,8.6,59,69,31.25,0.0,0.0,0.0,31.25
a21d1e1619714d8bac8cdf892b605afd30728c7c,60d596d3448473e61c35fc30a37bf8fda28d4ae7fa3bea9f715172f508af42884d4316cbcc730ecc4725b4b85cf1dcec20823dd29622c1a2fc416c2b9d14c0f9,2022-01-01T17:15:00.000Z,2022-01-01T17:30:00.000Z,1428,10.87,67,53,28.75,0.0,0.0,0.0,28.75
5884f065718974509145ca333fdf348e2861c887,e29752f264ca33780c57fec51b15e51dd4dc38c64eb744098d770d8dfc8708f2241ddf46727aa14964d87b8c6e20558861787850176dfe7cad146d2dcff03a2e,2022-01-01T21:15:00.000Z,2022-01-01T21:30:00.000Z,1405,11.47,67,32,29.75,0.0,0.0,0.0,29.75
8a92125b28773e97af54c2bfd1a5fd5b594f1c7e,6436b1ea087d8dd1c5b6393c8c3331353195b37673bfa29193e13df48096dee0d000a539e29ae747b828e217e5332d50473ff67e4f8ec5fbae89504eaf36e1f2,2022-01-01T16:15:00.000Z,2022-01-01T16:45:00.000Z,1738,10.42,67,28,30.0,0.0,0.0,0.0,30.0
fa7605df18f40e2e7a886b790038b6c2f438be4f,e8f673c7d74913eef9b2c58975502e30884a6d7c93a80264c9ef1ee7a3a44652b66f8f74348e5f7b62dc458b19ef474b8c0801463178f03b03bd08f768c42c4e,2022-01-01T16:45:00.000Z,2022-01-01T17:30:00.000Z,2820,9.4,67,33,31.5,0.0,0.0,0.0,31.5
1b5c0acc5647aa974e5885babfd79f0852151148,47afa2ad8334a794871c5a7e9785925599304a77c3d9cc49dd7362dce26e0c44b5a262c342084cb82c1a61b3f46f06b7083b0e737f6655ec09ec8f44ff9c3cb8,2022-01-02T09:45:00.000Z,2022-01-02T10:15:00.000Z,2221,9.84,17,7,30.0,0.0,0.0,0.0,30.0
0c85761e4374b5ba1ddceaa849f9c412fa8cf227,a83d0757369e84e2567b6d31793b04221b7087c4f99083aa0bd2edc5b8aa96186979c83eef0366885011dd1630841f55bed8cb819cb7f62d1c75dea5de3ec44d,2022-01-02T17:15:00.000Z,2022-01-02T17:30:00.000Z,1528,10.74,17,,28.39,0.0,0.0,0.0,28.39
d9aa34ad4338806a810eba521943ef353890d130,b3db2338ef61da4928f751b253fc10fcb116717e299cd4ea2aaef8e13df69da3b5d97b8e4fa122a8c4da73f896d6f0f3c300d3190fd4d0c37b0fac40966a9e58,2022-01-02T14:30:00.000Z,2022-01-02T14:30:00.000Z,360,0.1,18,,8.25,0.0,0.0,1.0,9.25
5a9bd28935987e150ec4c79c2a7c505b615d6425,e1e230a5ba682580ef4cf4c33d09483e7442f5458733c401a28955d18958fcc422244ea8464f0dc8c45d362fc5085700050874fe19613c3b6988716e7a6238be,2022-01-02T18:15:00.000Z,2022-01-02T19:00:00.000Z,2753,8.99,18,19,29.25,0.0,0.0,0.0,29.25
2d7f9e8c7664691368233df39f2f57e761460cf6,eb0f2345fdcb97ed52105cd4044ae6e3302eb4253ff9d804a0315deee7dc96462c233ee45be74d33d1560159854cef22fb70868070a162172d52876392cc948c,2022-01-02T17:15:00.000Z,2022-01-02T18:00:00.000Z,2807,3.37,18,25,22.75,0.0,0.0,0.0,22.75
c723d03f050f398523f7e7aac546b7f72a2dcf3b,1d5096d50f3afdf8beb85d7354c5f4ce292444336105c03c2584079ddb788514c479114105798bf7a6b0c7ba05e92549f22a19380259571c5062050b4dc2ed83,2022-01-02T16:15:00.000Z,2022-01-02T16:45:00.000Z,1860,0.0,18,19,15.5,0.0,0.0,0.0,15.5
ba7ab88fe79c4ab2e6d93d6148ffdcfcdb66f253,961d0f7585bf4b5b5e6a35acea78a36dee71cab2323ab1940661ec25678840ae6da244ce03f0511a31adf270a4434717377dade41bab73ba8594f12368f24f4f,2022-01-02T21:30:00.000Z,2022-01-02T21:45:00.000Z,1212,11.17,56,8,29.5,5.1,0.0,4.0,39.1
